mal_id,title_english,type,source,episodes,status,airing,rating,score,scored_by,rank,popularity,members,favorites,year,genres,studios
55809,Renegade Immortal,ONA,Web novel,,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.46,2717,182,7060,10453,318,,"Action, Adventure, Fantasy",BUILD DREAM
55823,Natsume's Book of Friends Season 7,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.58,17810,118,3293,57208,523,2024,"Slice of Life, Supernatural",Shuka
55825,Hell's Paradise Season 2,TV,Manga,12,Currently Airing,TRUE,R - 17+ (violence & profanity),8.23,30118,386,906,308946,2572,2026,"Action, Adventure, Supernatural",MAPPA
55830,Fate/strange Fake,TV,Light novel,13,Currently Airing,TRUE,R - 17+ (violence & profanity),8.51,17933,158,1892,136989,725,2026,"Action, Fantasy",A-1 Pictures
55866,A Sign of Affection,TV,Manga,12,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.2,156177,435,815,337274,4543,2024,Romance,Ajia-do
55888,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,TV,Light novel,12,Finished Airing,FALSE,R - 17+ (violence & profanity),8.39,320010,233,445,556073,4583,2024,"Adventure, Drama, Fantasy, Ecchi",Studio Bind
56009,Sentenced to Be a Hero,TV,Light novel,12,Currently Airing,TRUE,R - 17+ (violence & profanity),8.18,41100,452,1213,230945,1035,2026,"Action, Adventure, Fantasy",Studio KAI
56215,A Will Eternal 3rd Season,ONA,Web novel,59,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.22,1279,408,10182,4026,44,,"Action, Adventure, Comedy, Fantasy",B.CMAY PICTURES
56523,Swallowed Star 3rd Season,ONA,Web novel,33,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.38,2364,238,9463,4975,45,,"Action, Adventure, Fantasy, Sci-Fi",Sparkly Key Animation Studio
56524,Swallowed Star 4th Season,ONA,Web novel,175,Currently Airing,TRUE,PG-13 - Teens 13 or older,8.37,2038,249,8976,5756,153,,"Action, Adventure, Fantasy, Sci-Fi",Sparkly Key Animation Studio
56538,Kimi ni Todoke: From Me to You Season 3,ONA,Manga,5,Finished Airing,FALSE,PG-13 - Teens 13 or older,8.43,40294,194,2210,110052,789,,"Drama, Romance",Production I.G
